# Title: Africa February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,714.21
1981,707.15
1982,705.51
1983,698.34
1984,623.19
1985,658.22
1986,704.28
1987,693.82
1988,664.79
1989,747.98
1990,741.88
1991,671.90
1992,680.02
1993,656.58
1994,684.42
1995,683.22
1996,693.09
1997,707.87
1998,739.65
1999,677.83
2000,723.81
2001,708.59
2002,704.66
2003,704.90
2004,684.26
2005,689.58
2006,656.25
2007,775.59
2008,739.87
2009,696.46
2010,686.42
2011,734.23
2012,696.86
2013,728.87
2014,683.45
2015,671.11
2016,646.09
2017,682.32
2018,711.31
2019,722.71
2020,726.77
2021,690.26
2022,629.02
2023,669.06
2024,671.76
2025,654.08
