# Title: Antarctic February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,211.64
1981,190.89
1982,197.68
1983,222.41
1984,216.23
1985,211.47
1986,241.18
1987,216.14
1988,200.86
1989,206.01
1990,224.35
1991,224.21
1992,222.68
1993,232.30
1994,208.00
1995,198.16
1996,217.10
1997,223.68
1998,217.82
1999,228.19
2000,235.50
2001,205.44
2002,197.90
2003,181.58
2004,197.40
2005,192.72
2006,217.10
2007,203.28
2008,196.96
2009,210.96
2010,200.26
2011,208.39
2012,214.88
2013,194.18
2014,197.98
2015,211.51
2016,205.00
2017,203.94
2018,222.19
2019,222.28
2020,219.33
2021,230.19
2022,218.16
2023,231.02
2024,225.52
2025,221.08
