# Title: Arctic February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,355.48
1981,356.58
1982,350.41
1983,375.44
1984,361.85
1985,320.37
1986,325.73
1987,362.54
1988,310.21
1989,311.42
1990,353.91
1991,351.73
1992,360.41
1993,331.32
1994,332.06
1995,329.03
1996,350.09
1997,345.47
1998,328.97
1999,309.17
2000,315.75
2001,235.25
2002,259.98
2003,293.41
2004,387.65
2005,385.88
2006,425.63
2007,369.26
2008,417.51
2009,384.34
2010,355.76
2011,362.67
2012,441.70
2013,420.44
2014,359.01
2015,390.39
2016,418.81
2017,400.21
2018,383.08
2019,402.24
2020,357.90
2021,381.60
2022,394.39
2023,400.41
2024,383.90
2025,419.67
