# Title: Asia February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,604.98
1981,628.14
1982,638.99
1983,634.63
1984,651.18
1985,613.56
1986,619.21
1987,600.04
1988,614.79
1989,631.48
1990,616.81
1991,674.37
1992,611.75
1993,605.17
1994,632.92
1995,645.77
1996,631.18
1997,624.63
1998,637.06
1999,653.70
2000,625.99
2001,610.41
2002,619.91
2003,621.02
2004,626.49
2005,632.02
2006,614.83
2007,635.55
2008,643.80
2009,632.71
2010,603.95
2011,647.94
2012,629.08
2013,639.83
2014,669.34
2015,614.86
2016,653.19
2017,656.38
2018,643.87
2019,641.14
2020,655.30
2021,680.96
2022,675.62
2023,663.53
2024,654.04
2025,693.37
