# Title: Atlantic MDR February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,890.30
1981,744.41
1982,912.05
1983,838.58
1984,798.84
1985,797.93
1986,802.16
1987,810.67
1988,866.89
1989,876.36
1990,736.17
1991,804.00
1992,620.75
1993,716.31
1994,796.01
1995,595.84
1996,868.42
1997,824.49
1998,626.85
1999,855.18
2000,835.67
2001,674.40
2002,677.90
2003,590.40
2004,733.91
2005,896.59
2006,980.57
2007,721.00
2008,749.50
2009,826.83
2010,671.14
2011,977.34
2012,874.61
2013,798.28
2014,710.78
2015,622.19
2016,597.74
2017,817.13
2018,838.87
2019,585.49
2020,572.12
2021,824.34
2022,600.32
2023,731.38
2024,786.10
2025,851.97
