# Title: Caribbean Islands February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1225.48
1981,993.31
1982,1070.84
1983,1018.87
1984,984.34
1985,972.39
1986,928.84
1987,881.71
1988,1044.03
1989,1022.07
1990,815.26
1991,907.22
1992,740.74
1993,872.65
1994,901.18
1995,750.62
1996,1036.46
1997,1064.15
1998,776.73
1999,995.91
2000,1032.45
2001,774.92
2002,835.30
2003,810.86
2004,853.25
2005,923.14
2006,1180.27
2007,852.55
2008,956.64
2009,883.90
2010,766.00
2011,1138.86
2012,1024.82
2013,947.83
2014,871.47
2015,737.60
2016,742.27
2017,922.74
2018,1044.75
2019,706.39
2020,689.19
2021,965.90
2022,648.67
2023,803.36
2024,907.07
2025,1014.59
