# Title: Europe February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,899.64
1981,903.45
1982,922.23
1983,819.80
1984,848.85
1985,829.45
1986,856.64
1987,811.08
1988,888.97
1989,851.52
1990,811.59
1991,805.34
1992,791.47
1993,857.76
1994,861.40
1995,843.79
1996,850.81
1997,834.60
1998,885.32
1999,899.36
2000,891.92
2001,884.63
2002,882.91
2003,919.26
2004,800.37
2005,869.43
2006,835.58
2007,877.52
2008,869.34
2009,879.11
2010,909.90
2011,941.27
2012,826.86
2013,901.09
2014,864.67
2015,899.88
2016,823.37
2017,848.59
2018,854.01
2019,821.31
2020,810.67
2021,872.67
2022,804.04
2023,775.06
2024,907.91
2025,860.31
