# Title: 0.0 Degrees N, 0.0 Degrees E February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,978.30
1981,952.65
1982,965.26
1983,855.45
1984,638.17
1985,1317.26
1986,1102.41
1987,850.47
1988,773.99
1989,1450.09
1990,1015.27
1991,1237.48
1992,1294.38
1993,941.51
1994,1274.67
1995,905.83
1996,1110.00
1997,1046.87
1998,1182.09
1999,1027.19
2000,1231.02
2001,998.27
2002,926.21
2003,1345.65
2004,1403.20
2005,790.08
2006,763.62
2007,1091.43
2008,1494.58
2009,1050.67
2010,1172.62
2011,866.66
2012,902.13
2013,1351.70
2014,935.22
2015,1222.84
2016,824.90
2017,1134.62
2018,977.22
2019,1024.85
2020,1087.74
2021,925.57
2022,1277.42
2023,1142.65
2024,1346.81
2025,1073.65
