# Title: Gulf of America February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1164.05
1981,1015.21
1982,930.32
1983,1155.64
1984,1188.92
1985,1087.70
1986,1111.58
1987,910.97
1988,1091.27
1989,1095.91
1990,1076.91
1991,897.14
1992,1119.66
1993,1226.14
1994,1050.62
1995,1073.26
1996,1285.83
1997,1013.49
1998,1174.75
1999,1209.67
2000,971.38
2001,795.17
2002,1000.94
2003,1201.47
2004,1083.49
2005,945.98
2006,1013.24
2007,877.08
2008,901.33
2009,869.75
2010,1014.54
2011,957.19
2012,732.76
2013,1020.93
2014,1164.13
2015,1009.57
2016,1063.27
2017,946.88
2018,1070.18
2019,936.69
2020,992.62
2021,1242.78
2022,1092.14
2023,921.09
2024,975.16
2025,1271.97
