# Title: Hawaiian Region February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,607.56
1981,505.34
1982,491.40
1983,735.17
1984,358.65
1985,415.24
1986,698.83
1987,612.86
1988,539.58
1989,613.00
1990,798.47
1991,687.48
1992,644.77
1993,698.42
1994,433.70
1995,679.20
1996,498.80
1997,650.96
1998,460.75
1999,311.54
2000,434.87
2001,410.57
2002,526.39
2003,407.48
2004,498.87
2005,708.46
2006,427.79
2007,656.17
2008,448.50
2009,473.33
2010,452.88
2011,376.29
2012,377.30
2013,286.01
2014,350.26
2015,491.51
2016,535.43
2017,487.24
2018,479.09
2019,734.69
2020,618.35
2021,432.23
2022,480.68
2023,391.72
2024,360.22
2025,328.34
