# Title: North America February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,736.30
1981,681.59
1982,745.06
1983,728.15
1984,759.08
1985,737.63
1986,701.48
1987,726.86
1988,685.17
1989,690.46
1990,688.54
1991,740.57
1992,752.62
1993,719.07
1994,728.84
1995,689.43
1996,715.02
1997,751.86
1998,721.42
1999,726.23
2000,704.03
2001,684.14
2002,695.72
2003,682.51
2004,721.13
2005,758.70
2006,740.58
2007,694.07
2008,708.52
2009,737.59
2010,697.94
2011,711.86
2012,706.13
2013,675.98
2014,706.10
2015,692.02
2016,708.74
2017,713.87
2018,695.04
2019,706.32
2020,686.47
2021,676.44
2022,675.09
2023,681.07
2024,634.09
2025,692.03
