# Title: Northern Hemisphere Land and Ocean February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1002.42
1981,992.15
1982,1008.19
1983,1019.68
1984,987.54
1985,988.54
1986,997.28
1987,995.25
1988,998.95
1989,1000.52
1990,989.52
1991,1010.83
1992,994.85
1993,976.02
1994,1011.37
1995,1000.23
1996,1002.71
1997,995.04
1998,1018.50
1999,983.20
2000,989.31
2001,970.41
2002,985.73
2003,1005.17
2004,1006.54
2005,1014.28
2006,1022.70
2007,1020.66
2008,995.45
2009,1007.02
2010,989.26
2011,1020.59
2012,1006.74
2013,997.30
2014,1002.33
2015,1007.75
2016,1035.63
2017,1010.80
2018,995.37
2019,1008.71
2020,1007.50
2021,1009.92
2022,996.90
2023,1004.19
2024,1035.46
2025,1026.22
