# Title: Oceania February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1123.64
1981,1181.61
1982,1203.83
1983,962.66
1984,1286.81
1985,1242.51
1986,1203.05
1987,1124.08
1988,1023.41
1989,1215.40
1990,1180.81
1991,1101.61
1992,954.05
1993,1101.15
1994,1061.46
1995,1028.59
1996,1244.65
1997,1182.09
1998,948.89
1999,1302.59
2000,1309.55
2001,1387.98
2002,1224.37
2003,979.70
2004,1162.86
2005,1089.42
2006,1171.31
2007,1120.99
2008,1173.78
2009,1305.01
2010,1117.28
2011,1433.35
2012,1355.69
2013,1164.10
2014,1189.07
2015,1081.37
2016,924.32
2017,1282.30
2018,1207.40
2019,1027.22
2020,915.44
2021,1179.69
2022,1222.00
2023,1293.53
2024,1087.94
2025,1229.51
