# Title: East N Pacific February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1085.52
1981,1429.03
1982,1335.91
1983,1315.75
1984,1441.78
1985,1535.78
1986,1403.39
1987,1418.87
1988,1292.72
1989,1517.63
1990,1567.18
1991,1601.46
1992,1465.89
1993,1595.01
1994,1368.00
1995,1264.21
1996,1474.82
1997,1489.52
1998,1314.36
1999,1379.63
2000,1280.17
2001,1402.74
2002,1340.02
2003,1480.20
2004,1400.78
2005,1441.64
2006,1352.94
2007,1472.71
2008,1367.54
2009,1405.84
2010,1316.83
2011,1210.26
2012,1289.18
2013,1502.03
2014,1497.32
2015,1680.23
2016,1576.62
2017,1542.11
2018,1367.47
2019,1557.90
2020,1427.62
2021,1567.57
2022,1487.88
2023,1477.36
2024,1361.53
2025,1380.58
