# Title: South America February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,1658.71
1981,1659.85
1982,1664.08
1983,1679.92
1984,1612.55
1985,1757.01
1986,1678.73
1987,1704.47
1988,1584.29
1989,1655.68
1990,1696.90
1991,1629.75
1992,1549.80
1993,1602.42
1994,1624.84
1995,1646.38
1996,1585.37
1997,1668.21
1998,1535.35
1999,1611.65
2000,1659.54
2001,1762.71
2002,1603.12
2003,1627.64
2004,1607.13
2005,1621.66
2006,1641.72
2007,1693.27
2008,1649.07
2009,1660.04
2010,1702.79
2011,1610.62
2012,1719.62
2013,1559.88
2014,1657.90
2015,1637.09
2016,1521.58
2017,1537.67
2018,1638.25
2019,1625.24
2020,1578.13
2021,1440.22
2022,1578.57
2023,1557.90
2024,1365.86
2025,1442.12
