# Title: Southern Hemisphere Land and Ocean February - January Precipitation
# Units: Millimeters
# Missing: -9999
Year,Value
1980,946.49
1981,943.51
1982,951.37
1983,961.68
1984,983.67
1985,991.52
1986,974.38
1987,948.19
1988,950.90
1989,994.58
1990,958.68
1991,945.66
1992,935.45
1993,967.90
1994,954.13
1995,938.58
1996,958.43
1997,969.65
1998,949.97
1999,1009.86
2000,955.17
2001,982.00
2002,976.39
2003,968.46
2004,969.82
2005,968.24
2006,966.18
2007,969.08
2008,975.69
2009,953.88
2010,982.38
2011,968.73
2012,946.46
2013,965.77
2014,964.91
2015,945.29
2016,956.68
2017,979.34
2018,972.37
2019,939.97
2020,949.63
2021,947.32
2022,937.21
2023,929.06
2024,930.14
2025,966.77
