# Title: Antarctic February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.07
1980,-0.09
1981,0.58
1982,0.41
1983,-0.02
1984,0.22
1985,0.37
1986,0.03
1987,0.17
1988,0.01
1989,0.37
1990,0.16
1991,0.12
1992,0.57
1993,0.26
1994,-0.15
1995,-0.06
1996,0.12
1997,0.39
1998,0.02
1999,0.04
2000,-0.17
2001,0.14
2002,0.19
2003,0.44
2004,0.19
2005,0.13
2006,0.32
2007,0.27
2008,0.53
2009,0.21
2010,0.52
2011,0.05
2012,0.34
2013,0.12
2014,0.37
2015,0.03
2016,-0.19
2017,0.17
2018,0.19
2019,0.34
2020,0.34
2021,0.33
2022,0.10
2023,0.30
2024,0.22
2025,0.38
