# Title: Arctic February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,-0.21
1980,-0.38
1981,0.47
1982,0.54
1983,-0.17
1984,0.24
1985,0.28
1986,0.10
1987,0.06
1988,-0.40
1989,0.35
1990,0.43
1991,0.67
1992,0.80
1993,-0.03
1994,0.41
1995,0.50
1996,1.23
1997,0.48
1998,0.71
1999,0.51
2000,0.44
2001,0.81
2002,0.71
2003,0.98
2004,1.27
2005,0.74
2006,1.67
2007,1.57
2008,1.61
2009,1.40
2010,0.99
2011,1.99
2012,1.95
2013,1.74
2014,1.24
2015,1.87
2016,2.04
2017,2.84
2018,2.49
2019,1.98
2020,2.65
2021,2.68
2022,1.93
2023,2.28
2024,2.58
2025,2.76
