# Title: Asia February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.10
1980,0.08
1981,0.35
1982,0.50
1983,0.33
1984,0.62
1985,-0.27
1986,0.09
1987,0.15
1988,0.05
1989,0.68
1990,0.62
1991,1.03
1992,0.67
1993,0.18
1994,0.27
1995,0.61
1996,1.10
1997,0.41
1998,0.74
1999,0.86
2000,0.81
2001,0.70
2002,1.17
2003,1.08
2004,1.08
2005,1.02
2006,1.02
2007,1.36
2008,1.37
2009,1.52
2010,0.89
2011,1.08
2012,1.19
2013,1.00
2014,1.32
2015,1.25
2016,1.70
2017,1.77
2018,1.69
2019,1.54
2020,1.88
2021,1.96
2022,1.82
2023,1.74
2024,2.20
2025,2.28
