# Title: Atlantic MDR February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.18
1980,0.36
1981,0.44
1982,0.40
1983,0.04
1984,0.41
1985,-0.08
1986,-0.09
1987,-0.14
1988,0.60
1989,0.32
1990,0.03
1991,0.34
1992,0.01
1993,0.10
1994,0.09
1995,-0.05
1996,0.54
1997,0.28
1998,0.46
1999,0.69
2000,0.28
2001,0.09
2002,0.41
2003,0.34
2004,0.54
2005,0.63
2006,0.94
2007,0.63
2008,0.46
2009,0.48
2010,0.45
2011,1.17
2012,0.65
2013,0.62
2014,0.68
2015,0.45
2016,0.66
2017,0.85
2018,0.85
2019,0.30
2020,0.58
2021,0.90
2022,0.64
2023,0.63
2024,1.37
2025,1.56
