# Title: Caribbean Islands February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.23
1980,0.18
1981,0.36
1982,0.35
1983,0.11
1984,0.36
1985,-0.09
1986,-0.02
1987,0.00
1988,0.46
1989,0.20
1990,-0.01
1991,0.18
1992,0.08
1993,0.05
1994,0.13
1995,0.17
1996,0.45
1997,0.03
1998,0.31
1999,0.66
2000,0.31
2001,0.13
2002,0.30
2003,0.38
2004,0.53
2005,0.37
2006,0.71
2007,0.54
2008,0.54
2009,0.29
2010,0.41
2011,0.71
2012,0.55
2013,0.56
2014,0.56
2015,0.61
2016,0.85
2017,1.00
2018,0.83
2019,0.52
2020,0.76
2021,0.96
2022,0.71
2023,0.68
2024,1.19
2025,1.42
