# Title: Europe February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,-0.58
1980,-0.08
1981,-0.38
1982,0.00
1983,0.45
1984,0.36
1985,-0.27
1986,-0.38
1987,-0.40
1988,-0.17
1989,0.27
1990,0.94
1991,0.98
1992,0.17
1993,0.44
1994,0.03
1995,0.71
1996,0.53
1997,-0.11
1998,0.60
1999,0.55
2000,0.99
2001,1.35
2002,0.75
2003,1.02
2004,0.89
2005,0.90
2006,0.55
2007,1.33
2008,1.22
2009,1.14
2010,0.92
2011,0.80
2012,1.19
2013,0.97
2014,1.10
2015,1.75
2016,1.55
2017,1.41
2018,1.55
2019,1.68
2020,1.97
2021,1.95
2022,1.29
2023,1.98
2024,1.95
2025,2.58
