# Title: Gulf of America February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,-0.03
1980,-0.10
1981,0.06
1982,0.00
1983,0.37
1984,-0.04
1985,-0.43
1986,0.15
1987,0.14
1988,-0.17
1989,-0.13
1990,0.05
1991,0.29
1992,0.21
1993,-0.15
1994,-0.19
1995,0.27
1996,0.18
1997,-0.08
1998,0.17
1999,0.29
2000,0.30
2001,0.31
2002,0.25
2003,0.28
2004,0.35
2005,0.46
2006,0.30
2007,0.43
2008,0.27
2009,0.13
2010,0.31
2011,-0.13
2012,0.39
2013,0.67
2014,0.14
2015,0.18
2016,0.73
2017,1.06
2018,0.79
2019,0.81
2020,0.88
2021,0.79
2022,0.58
2023,0.71
2024,1.17
2025,1.14
