# Title: Hawaiian Region February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.03
1980,0.11
1981,0.32
1982,0.36
1983,0.29
1984,-0.04
1985,0.28
1986,0.01
1987,0.60
1988,0.32
1989,0.41
1990,0.26
1991,0.25
1992,0.19
1993,0.37
1994,0.16
1995,0.17
1996,0.43
1997,0.59
1998,0.39
1999,-0.34
2000,-0.53
2001,-0.11
2002,-0.06
2003,0.12
2004,0.43
2005,0.65
2006,0.37
2007,0.30
2008,0.16
2009,-0.12
2010,0.21
2011,0.00
2012,-0.02
2013,-0.19
2014,0.31
2015,0.70
2016,1.12
2017,0.77
2018,0.84
2019,0.85
2020,1.04
2021,0.64
2022,0.21
2023,0.60
2024,0.49
2025,0.60
