# Title: North America February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,-0.21
1980,0.00
1981,0.65
1982,0.67
1983,-0.26
1984,-0.04
1985,0.23
1986,0.05
1987,0.43
1988,0.74
1989,0.64
1990,0.09
1991,0.12
1992,0.78
1993,0.01
1994,0.08
1995,0.68
1996,0.30
1997,0.16
1998,0.60
1999,1.62
2000,1.01
2001,0.83
2002,1.07
2003,0.75
2004,0.76
2005,0.59
2006,1.41
2007,1.37
2008,0.73
2009,0.37
2010,0.57
2011,1.60
2012,0.98
2013,1.48
2014,0.62
2015,0.76
2016,1.41
2017,1.94
2018,1.44
2019,0.87
2020,1.17
2021,1.37
2022,1.33
2023,1.23
2024,1.92
2025,2.24
