# Title: Northern Hemisphere Land and Ocean February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Year,Anomaly
1851,-0.24
1852,-0.08
1853,-0.06
1854,-0.10
1855,0.06
1856,0.00
1857,-0.17
1858,-0.18
1859,-0.23
1860,-0.01
1861,-0.37
1862,-0.32
1863,-0.48
1864,-0.27
1865,-0.19
1866,-0.14
1867,-0.16
1868,-0.32
1869,-0.17
1870,-0.07
1871,-0.23
1872,-0.25
1873,-0.28
1874,-0.23
1875,-0.24
1876,-0.35
1877,-0.28
1878,0.15
1879,0.13
1880,-0.24
1881,-0.26
1882,-0.16
1883,-0.34
1884,-0.29
1885,-0.45
1886,-0.35
1887,-0.42
1888,-0.34
1889,-0.12
1890,-0.14
1891,-0.39
1892,-0.26
1893,-0.43
1894,-0.48
1895,-0.41
1896,-0.28
1897,-0.21
1898,-0.18
1899,-0.34
1900,-0.24
1901,-0.08
1902,-0.09
1903,-0.31
1904,-0.46
1905,-0.45
1906,-0.35
1907,-0.19
1908,-0.50
1909,-0.49
1910,-0.43
1911,-0.44
1912,-0.41
1913,-0.50
1914,-0.41
1915,-0.22
1916,-0.13
1917,-0.44
1918,-0.58
1919,-0.40
1920,-0.28
1921,-0.25
1922,-0.15
1923,-0.25
1924,-0.23
1925,-0.17
1926,-0.07
1927,-0.05
1928,-0.10
1929,-0.15
1930,-0.29
1931,0.02
1932,0.09
1933,-0.06
1934,-0.24
1935,-0.02
1936,-0.09
1937,0.00
1938,0.14
1939,0.11
1940,0.09
1941,0.22
1942,0.27
1943,0.09
1944,0.22
1945,0.29
1946,0.17
1947,0.01
1948,0.09
1949,-0.01
1950,-0.06
1951,-0.15
1952,0.12
1953,0.09
1954,0.22
1955,0.06
1956,-0.11
1957,-0.19
1958,0.11
1959,0.12
1960,0.14
1961,0.10
1962,0.08
1963,0.12
1964,0.13
1965,-0.19
1966,-0.14
1967,-0.01
1968,0.05
1969,-0.07
1970,0.05
1971,-0.04
1972,-0.16
1973,-0.07
1974,0.09
1975,-0.13
1976,-0.03
1977,-0.16
1978,0.16
1979,0.05
1980,0.14
1981,0.26
1982,0.33
1983,0.14
1984,0.26
1985,0.07
1986,0.06
1987,0.16
1988,0.28
1989,0.35
1990,0.32
1991,0.54
1992,0.43
1993,0.15
1994,0.23
1995,0.42
1996,0.58
1997,0.32
1998,0.57
1999,0.72
2000,0.50
2001,0.52
2002,0.67
2003,0.69
2004,0.75
2005,0.70
2006,0.86
2007,0.89
2008,0.75
2009,0.74
2010,0.74
2011,0.93
2012,0.78
2013,0.84
2014,0.82
2015,0.97
2016,1.23
2017,1.32
2018,1.20
2019,1.10
2020,1.29
2021,1.35
2022,1.18
2023,1.21
2024,1.58
2025,1.68
