# Title: Oceania February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.15
1980,0.39
1981,0.64
1982,0.44
1983,0.13
1984,0.41
1985,0.09
1986,0.32
1987,0.37
1988,0.39
1989,0.72
1990,0.29
1991,0.53
1992,0.48
1993,0.30
1994,0.35
1995,0.21
1996,0.31
1997,0.57
1998,0.44
1999,1.01
2000,0.36
2001,0.34
2002,0.26
2003,0.77
2004,0.70
2005,0.54
2006,1.03
2007,0.50
2008,0.75
2009,0.47
2010,0.89
2011,0.66
2012,0.21
2013,0.51
2014,1.13
2015,0.91
2016,0.97
2017,1.10
2018,1.04
2019,1.04
2020,1.07
2021,1.00
2022,0.72
2023,0.71
2024,1.06
2025,1.38
