# Title: South America February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1979,0.23
1980,0.22
1981,0.35
1982,0.23
1983,0.41
1984,0.50
1985,0.10
1986,0.22
1987,0.33
1988,0.68
1989,0.28
1990,0.26
1991,0.37
1992,0.41
1993,0.26
1994,0.41
1995,0.58
1996,0.58
1997,0.41
1998,0.83
1999,0.92
2000,0.39
2001,0.30
2002,0.64
2003,0.86
2004,0.76
2005,0.70
2006,0.79
2007,0.79
2008,0.51
2009,0.61
2010,0.88
2011,0.82
2012,0.65
2013,0.90
2014,0.75
2015,1.01
2016,1.41
2017,1.14
2018,1.17
2019,0.95
2020,1.24
2021,1.32
2022,1.07
2023,0.82
2024,1.79
2025,1.64
